firm,exchange_api,bots_allowed,belarus_allowed,fee_10k,phases,targets,daily_dd,max_dd,consistency,min_hold,split,payout_freq,max_allocation,multi_account_policy,funding_on_demo,flat_for_payout,trustpilot,red_flags,sources
HyroTrader,Bybit-own-account-API + Cleo(Binance) + Tealstreet(Bybit),UNKNOWN — no public statement found,UNKNOWN — no country list published; must contact support,UNKNOWN (refundable deposit model),1-step (10% target / 5min days) or 2-step (10%+5%),10%/5%,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (no 50s rule mentioned),80% → 90%,On-demand within 12hr; first payout 1 day after first funded trade; min $100 profit,US$200K,UNKNOWN — API monitoring may detect mirrored positions,UNKNOWN — likely yes (Bybit perpetuals charge funding),UNKNOWN,4.7/5 (210 reviews),Bot policy unknown; Belarus unknown; $10k fee unknown; very limited public rule detail,hyrotrader.com 2026-09-09
Mubite,Bybit-own-account-API + Cleo(Binance),YES — EAs and bots explicitly allowed; prohibits latency arb / cross-acct hedging / group trading / mirroring,UNKNOWN — says contact support; CIS traders in testimonials (Nik Russia seen),US$110 (refundable on first payout),2-step (One-step and Instant also available),10%+5% (2-step),5% of starting balance (static),8% of starting balance (static; 10% with add-on),None stated for standard,None stated,80% → 90% (or 90% from start with add-on),1st on-demand; subsequent bi-weekly,US$200K (cited to US$1M via scaling),EXPLICITLY prohibits cross-account hedging / group trading / mirroring — running same bot on multiple Mubite accounts VIOLATES rules; across firms harder to detect,UNKNOWN — likely yes (real Bybit account funding rates probably apply),UNKNOWN,4.8/5 (126+ reviews Trustpilot) / 4.7 Google,"New firm (founded 2025); group-trading ban kills multi-account on same firm; per-trade 3% equity loss cap; 3x cumulative exposure cap on $10k limits scale with 100-160 positions",mubite.com 2026-09-09; mubite.com/en/challengeRules 2026-09-09; allproptradingfirms.com 2026-06-27
Klein Funding,Bybit-sub-account-API (Instant Pro/One-Step) + Cleo (Binance / Standard plans),NO — bots/EAs/scripts strictly prohibited; all trades must be manual,UNKNOWN — mentions restricted list exists but no country named publicly,US$95 (Cleo Standard) or US$255.55 (Bybit Instant Pro),1-step (6% target) / 2-step / Flex / Instant Pro (no challenge),6% (1-step) / varies,3% of starting balance (resets 12:05 AM UTC),6% of starting balance (static),Stability score: no single day ≥30% (1-step) or ≥45% (2-step) of profits,50 seconds (Bybit accounts ONLY — violates fast rebalancing),70% (pricing table; up to 90% claimed in FAQ),On-demand (4–24h); first payout after 3 profitable days (0.5% each) + 4% total,US$300K virtual; Instant Pro scales to US$2M,Copy trading between own accounts prohibited; one account per household/device/IP/VPS — sharing terminates ALL accounts,UNKNOWN — Bybit account likely yes,UNKNOWN,4.9/5 (count unknown),"FATAL: bots banned; 50-second hold rule kills rebalancing; one-IP rule destroys multi-firm setup; Belarus unknown; copy trading banned between own accounts",kleinfunding.com 2026-09-09; propvator.com 2026-07-29; kleinfunding.com/faqs 2026-09-09
Breakout Prop,NONE — proprietary platform (Payward Oceanic Ltd / Kraken-affiliated); NOT Bybit API,UNKNOWN — no explicit EA statement found; proprietary platform model,UNKNOWN — regional restrictions apply; 160+ countries served,UNKNOWN (Turbo from $20 / Pro from $33 / Classic from $45 — $10k account fee not extracted),1-step (no minimum trading days),9–12% depending on product,3% of balance (resets 00:30 UTC),3–6% static (equity floor at account start),NONE — explicitly stated,Not stated,80% (90/10 available at checkout upgrade),On-demand 24/7; most requests within hours; min $50 after split,US$200K across all funded accounts combined; multiple accounts allowed within cap,Multiple accounts allowed within $200K cap; no explicit copy-trading ban found; 'avoid hedging across separate accounts',UNKNOWN — proprietary platform unlikely to charge Bybit funding rates,No forced close requirement,4.7/5 (1000+ reviews),"NOT Bybit API (bot must be adapted); proprietary Kraken-affiliated platform; $200K cap across all accounts; Belarus unknown",breakoutprop.com 2026-09-09
Crypto Fund Trader (CFT),NONE — proprietary demo platform (Bybit branding/partner but own simulator); NOT real Bybit API,UNKNOWN,UNKNOWN,UNKNOWN,1-phase or 2-phase (8%+5% / 10% instant),10% (instant/1-phase) / 8%+5% (2-phase),4% (1-phase) / 5% (2-phase),6% trailing (1-phase) / 10% (2-phase),40% consistency rule — no single day >40% of total profit at payout,Not stated,50% (start) → 90% (at scale); starts very low,UNKNOWN,US$1.28M (11 scaling levels),UNKNOWN,UNKNOWN — proprietary platform unlikely to apply Bybit funding rates,UNKNOWN,UNKNOWN,"Low 50% starting split; proprietary platform not real Bybit API; scale takes very long to reach good split; Belarus unknown",cryptofundtrader.com 2026-09-09
Alpha Capital Group,NONE — MT5 / cTrader / DXTrade / TradeLocker; NOT exchange API,YES (MT5 EAs supported),UNKNOWN — 140+ countries claimed; country list exists but not extracted,UNKNOWN,1-step or multi-step,UNKNOWN (not extracted),UNKNOWN,UNKNOWN,UNKNOWN,Not applicable (MT5),80% (90% add-on),Bi-weekly or on-demand (different price tiers),US$200K,UNKNOWN,Swap-free add-on available (+~10% fee); default accounts pay overnight swaps,UNKNOWN,UNKNOWN (not extracted),"NOT Bybit API; wrong platform for crypto perpetuals bot; Belarus unknown",alphacapitalgroup.uk 2026-09-09
FXIFY,NONE — MT4/MT5/DXTrade; NOT exchange API,YES — EAs / Martingale / Grid explicitly allowed,UNKNOWN — 200 countries claimed,UNKNOWN (fee for $10k not extracted; $5k = $250 seen),1-phase / 2-phase / 3-phase / Lightning (1-step 5%) / Instant,5–10% depending on plan,UNKNOWN (static and trailing options available),UNKNOWN,UNKNOWN,Not applicable,Up to 90%,On-demand from first funded trade; min $50,US$400K,UNKNOWN,MT4/MT5 overnight swaps apply,UNKNOWN,4.3/5 (6201 reviews),"NOT Bybit API; low crypto leverage (30:1); Belarus unknown; MT5 EA rewrite needed for this bot",fxify.com 2026-09-09
Hola Prime,NONE — Forex/Futures proprietary; NOT exchange API,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not applicable,Bi-Weekly 80% / Monthly 95% / Direct bi-weekly 90% / On-Demand 80%,1-hour payouts (avg 33 min),UNKNOWN,UNKNOWN,UNKNOWN — proprietary model; not Bybit funding,UNKNOWN,UNKNOWN (not extracted),"NOT Bybit API; Forex/Futures focus (no crypto perpetuals); Belarus unknown",holaprime.com 2026-09-09
BitFunded,UNKNOWN — NOT LIVE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (not yet launched),"NOT LIVE — Coming Soon; BTC-only scalping; Dubai; no usable information",bitfunded.io 2026-09-09
Blue Guardian,NONE — MT5 / Match-Trader / NinjaTrader / TradeLocker / TradingView / Tradovate / DeepCharts; NOT exchange API,YES (EAs listed as funded account feature),UNKNOWN — 170+ countries,US$75 (1-Step Standard $10k; Nano lower),1-step or 2-step (Instant also),UNKNOWN specific % (targets not extracted),UNKNOWN,Trailing drawdown (highest equity floor model),UNKNOWN,Not applicable,Up to 90% (some plans 100%),7 days; instant payouts on some plans; 24h guarantee,US$400K,UNKNOWN,Proprietary model; not Bybit funding rates,UNKNOWN,4.6/5 PropFirmMatch; 4.9/5 Google,"NOT Bybit API; trailing drawdown penalizes unrealized gains in large multi-position portfolios; Belarus unknown",blueguardian.com 2026-09-09
